,旅行者类型,昵称,地区,时间,标题,评论
131,好友,Maps22080029560,河南省郑州市,2018年1月2日,几乎完美,"第二次带孩子来了, 第一次孩子三岁, 这一次孩子五岁, 体验依然很棒, 绝对是中国最好玩的主题动物园了, 环境超级棒, 面积超级大, 我们没有坐地面穿梭车大概花费了, 个小时, 还没有玩完, 因为赶时间看大马戏, 没去熊猫馆, 有些遗憾, 建议, 带孩子来的朋友一定带个儿童推车, 虽然进动物园后可以租推车, 但只限三岁以下, 且要排队, 非要说不足的话, 个人意见如下, 园内食物贵种类少, 小火车游览时间太短, 大概, 分钟, 还没怎么看结束了"
132,好友,Daphnedan,广东省广州市,2017年12月16日,自驾游,"自驾游亲临动物世界, 感受不一样的场景, 与动物亲密接触, 又去体验缆车从高空俯瞰动物世界, 犹如来到非洲一般, 另人兴奋之余意犹未尽的感受"
133,好友,Compass810951,香港,2017年8月20日,一天时间只够游览半个景区,"景区非常大, 和家人一起游玩了一天, 只游览了半个景区, 动物表演比较有特色, 但是有纪录片说驯兽师对这些用来表演的动物很残忍, 可能不想再去了吧"
134,好友,Navigate24054615590,广东省深圳市,2017年7月27日,来猜猜这只熊猫叫什么名字,"跟朋友们去长隆动物园, 全程徒步啊, 当然除了坐小火车, 哈哈哈, 走到紫竹林看见只大懒猫在睡觉不出, 饲养员扔了把竹子它撒了欢的跑出来, 真是个吃货"
135,好友,wingwingli,广东省广州市,2017年7月15日,"规模大, 节目丰富","长隆野生动物世界位于广州市番禺区, 是全世界动物种类最多, 最大的, 级野生动物主题公园, 也是来广州旅游必去的景点之一, 园区分为自驾车游览区和步行游览区两大部分, 前者位于园区西半部, 是国内首创的原生态自驾车游览区, 以野生动物的大规模放养为主要特色, 游客可以开着自己的爱车, 不出国门就能穿越五大洲, 进入澳洲森林, 美洲丛林, 亚洲森林, 狂野地带, 南非高原和东非高原, 与野生动物零距离接触, 后者位于园区东半部, 以世界各地的珍稀野生动物为主要特色, 各大剧场均位于此区中, 园区拥有方舟剧场, 大象剧场, 河马剧场, 花果山剧场等四大剧场, 它们聚集了五大洲的珍奇异兽, 从空中, 陆地, 水上等不同的形式表演, 是园区众多亮点之一, 长隆野生动物世界原名为香江野生动物世界, 每年的, 月, 日是园区的周年纪念日, 到, 年, 月, 日, 香江迎来十五周年, 并正式更名为, 长隆野生动物世界, 小时候, 我在父母潜移默化的熏陶下, 非常喜欢动物, 年香江野生动物世界刚建成, 尽管当时还没有饲养大熊猫, 我已经急不及待的想与世界各地的动物相见, 这是我第一次访园, 年, 长隆举办了三八妇女节的优惠活动, 促使了我第二次访园, 前两次访园, 由于没有仔细规划游览路线, 没有好好地欣赏四大剧场, 为此, 我决定在这个暑假进行了第三次访园"
136,好友,FredLoHK,香港,2017年4月8日,直得一去的动物园,"园境区内都有不同的动物可以看, 同时现时进行扩建, 不久将来会有吊车供游客用另一角度看动物园, 相信不久将来可以有另一个新感觉吧"
137,好友,lilylily121,香港,2016年9月28日,充满惊喜的旅程,"第一次到访长隆野生动物园, 这真是一个国际性的动物园, 不同国家的动物都汇聚在这里, 一次见到那么多不同种类和稀有的动物, 而且还看见动物的表演, 真是大开眼界和充满惊喜"
138,好友,sugartigerxx,广东省广州市,2016年8月23日,适合一家大小出行,"适合一家大小出行, 动物都很活泼, 不像其他动物园里的动物都是老弱残兵, 熊猫三胞胎真的太可爱了, 天气比较热, 还会爬在冰块睡觉, 好萌"
139,好友,likeorxiao,香港,2016年8月1日,野生动物园,"长隆野生动物园游客很多很出名, 我们自驾车进入还需花费, 元车子门票, 散养区其实也是有各种围栏和隔离而且夏天动物都懒得动, 步行区蛮大的, 有三个地方可以看表演, 我们看了其中两个觉得驯化痕迹超级严重, 整体来看就是一个超级大动物园而已和野生没有什么关系, 基本需要一天时间来游玩"
140,好友,kenyellow,977,2016年3月22日,适合小孩子的地方,"长隆野生动物园应该在全国都算是比较值得去的动物园, 动物种类比较多, 还可以近距离看到不少动物, 开车或者坐小火车看都可以, 小孩子很喜欢"
141,好友,WeepingWillow,山东,2016年3月16日,大大的动物园,"园区很大, 动物品种也挺多的, 坐着小火车可以比较近距离的看到神兽哦, 虽然门票不是很便宜, 但是感觉还是值回票价的, 可以用一天的时间在里面慢慢逛, 强烈推荐带小朋友去"
142,好友,mmhoney123,广东省广州市,2016年3月2日,如果能便宜点就好了,"园区不小, 动物品种也多, 而且品种不是太类, 也有同动物亲密接触的机会, 也是很好的体会, 有日间和夜间之分, 虽然价钱高但也有其原因, 如果能便宜点就好了"
143,好友,Pioneer42420753382,广东省广州市,2016年1月12日,"旅游观光的好地方, 适合一家大小游玩","这次是公司过来旅游的, 买好票, 就可以进场了, 在检票口需要打开手提包, 背包等给工作人员查看, 是否有带食物进去, 为了避免游客投喂动物食物, 所以不准带食物进去, 婴幼儿的奶粉等食物除外, 进去园区很大, 带小孩悠闲逛的话, 可以逛一天, 好多地方都有动物表演, 适合走下, 看下, 休息下, 园区里面也有卖食物的餐厅, 确实是挺贵的, 不过就一餐, 还是可以接受"
144,好友,YANYURI,广东省广州市,2015年12月17日,观光车看动物性价比最高,"因为住在广州, 本身又有导游证, 所以去过长隆一年内就记得有三次, 园区还是很大, 如果是外地游客带着小孩来还是很值得推荐的, 特别是观光车游览近距离直观动物的景区小朋友都会很喜欢, 园区内吃喝消费还是会比外面贵, 商店小礼品也是, 消费与否就看自己的选择了, 这些年因为拍节目好像更火了, 但是门票和住宿的价格也在涨, 建议如果不是带小朋友的话不要假期去, 超级多人, 必须看的, 白虎, 观光车区"
145,好友,mmeko,广东省广州市,2015年10月28日,比较大的野生动物园,"长隆在广州这几年很出名, 动物园是比较早成熟的一个园子, 可以自驾跟动物亲密接触, 园子里面很大, 可以玩一个整天, 就是里面东西有点贵"
146,好友,Normanwang,4212,2015年10月23日,不一样的动物园,"因为芒果的节目, 长隆火了, 所以特意来看看, 可以选择地铁直达, 下来以后很多黄牛会向你兜售门票和车票, 随便找了一个车送进去, 不然自己会走蛮多路的, 门口需要你寄放所有吃的和喝的, 因为买了好多东西, 包裹比较大, 居然让我分开寄, 又多说了几十块, 很不人性化, 一进门就有讲解员介绍里面的情况, 哪里几点有表演, 推荐游园路线, 这里的动物很多, 可以见到别的地方不常见的, 最激动的是可以做个小货车看看野生动物, 不过貌似那些东西都比较懒, 狮子犀牛什么都不太动, 值得一看的是三胞胎大熊猫, 世界唯一一对哟, 一整体逗下来还是蛮有意思的, 值得前来一看, 不过门票比较贵"
147,好友,sapphira,江苏省苏州市,2015年9月28日,胜利日一起,"景点需要玩一整天才能玩完, 非常适合年轻人和家庭出游, 最好关注好当天的活动, 安排好当天的行程, 野兽表演还是非常有意思的"
148,好友,iihao,广东省广州市,2015年9月7日,小朋友的最爱,"广州最好的动物园, 大而全, 非常适合全家老少出游, 里面有猛兽区, 可以坐在车上看动物, 还有一些动物表演, 还可以和一些动物合影"
149,好友,Relax43999879919,北京市,2015年6月29日,优质景点,"和朋友去的, 下午到, 实际只有, 个钟头逛, 根本不够用, 因为好玩的实在太多了, 小火车一定要坐, 基本把特别好的景点就看了, 以后根据个人喜好慢慢观赏, 我是动物控, 所以哪个馆都停留了好久, 尤其是爬行动物馆可以摸蛇, 可以直观地感受动物, 没做攻略, 以为就是动物园, 其实还有游乐园项目, 真的还是住一晚玩比较尽兴呢"
150,好友,victoriayu,北京市,2015年2月1日,"一般, 贵","年会去的广州, 自己花钱买票去了这个长隆野生动物园, 就是觉得这, 的门票真心不值, 太贵了, 里面没有想像的大, 而且非洲馆还在休息不能去, 可以没能看更多猩猩, 唯一觉得好的是树袋熊, 还有坐小火车看, 爸爸去哪儿, 拍摄那段"
151,好友,Vacation39192229930,上海市,2015年1月15日,好喜欢去看动物,"住在番禺, 去长隆就比较方便, 和朋友一起去的, 里面环境挺好的, 而且里面可看的动物很多, 很多都是以前只在电视上看过, 拍了很多的照片"
152,好友,Flyer57129877617,广东省广州市,2014年12月16日,好多动物啊,"真的有那种嘢外森林的赶脚, 好多动物, 好多我都没有见过呢, 不过就是感觉门票有点贵了, 还有就是有点远, 坐车作了好久啊"
153,好友,JerryLo,Guangzhou,2014年12月14日,"不错的地方, 就是门票贵了点","一个非常不错的动物园, 很大, 很多动物, 里面有些地方你可以买东西来喂食动物或者合照, 而且还有一个区域可以自己驾车进去, 进去之后会发现有很多动物会在你附近游走, 有些胆子大的动物甚至还会走到你车子前伸头和你打招呼, 感觉非常特别, 这是一个适合带小孩子一家游玩的地方, 不过让我觉得有点美中不足的的就是门票有点贵"
154,好友,Estherhsiehale,台北市,2014年12月2日,"很大, 很多动物, 门票很贵","风景好, 区域大, 但整洁程度还要加强, 门票贵, 涨了几次了, 很多动物, 有看到动物游行, 但有虐待动物, 把老鹰的翅膀硬是打开固定在游车上, 应该喂给动物们的食物, 拿来卖游客赚钱, 动物圈里的环境卫生很差, 很少清理, 人的整洁标准有关, 大陆在动物园上的管里缺道德"
